Employee ID,Name,Position,Department,Manager ID,Score,Readiness,Critical Position,Gender,City,Marital Status,[Performance] Score,IQ,Capability,Commitment,Contribution,Photo URL,Referance ID,Successor For Employee ID
17,Adi,People Development Lead,People,5,86,72,No,Laki-laki,Jakarta,Menikah,84,115,,,,https://lh3.googleusercontent.com/d/1yao4VDNnVfJnHNtoTgkZ_l6YA7foSTBC=s220?authuser=0,,
18,Reza,Product Manager,Product,7,72,78,No,Laki-laki,Depok,Menikah,64,117,,,,https://lh3.googleusercontent.com/d/1psr8E8xL8yRP3TaH8gXB880tlnHfcWy0=s220?authuser=0,,
19,Siti,Product Manager,Product,6,68,65,No,Perempuan,Semarang,Belum Menikah,62,124,,,,https://lh3.googleusercontent.com/d/1fRWwT75Ytd3grLO9FVKw4hbcOhZy4qHF=s220?authuser=0,,
20,Clarissa,Product Manager,Product,8,74,80,No,Perempuan,Palembang,Menikah,64,117,,,,https://lh3.googleusercontent.com/d/1YHcLLrl8NumXG1Go5N_FdR63RAhHEGOd=s220?authuser=0,,
21,Doni,Product Designer,Product,7,73,62,No,Laki-laki,Semarang,Menikah,64,109,,,,https://lh3.googleusercontent.com/d/1ZEQx3IRFLsNNVw_mrv7t8KQDWv4Bmm8C=s220?authuser=0,,
22,Putri,Product Designer,Product,8,75,55,No,Perempuan,Makassar,Menikah,72,117,,,,https://lh3.googleusercontent.com/d/1oV2LbBwlsiCiOTq9ZhtEyg9YfsRO5c81=s220?authuser=0,,
23,Haikal,Product Designer,Product,8,84,81,No,Laki-laki,Bandung,Menikah,69,119,,,,https://lh3.googleusercontent.com/d/1NZDVNWmITcoUIzRrGI5yRIMbFjJC17VP=s220?authuser=0,,
24,Xavier,UX Researcher,Product,7,75,60,No,Laki-laki,Palembang,Belum Menikah,71,130,,,,https://lh3.googleusercontent.com/d/1zx963cC9vLJJf3vZpTutplgQA0WLLbmF=s220?authuser=0,,
25,Nana,Frontend Developer,Technology,10,66,72,No,Perempuan,Makassar,Menikah,60,123,,,,https://lh3.googleusercontent.com/d/1qAEhKcAKD8_uIZWIxxSWnBw_MUc4h2mi=s220?authuser=0,,
26,Jesslyn,Frontend Developer,Technology,11,67,48,No,Perempuan,Tangerang,Menikah,59,121,,,,https://lh3.googleusercontent.com/d/1PVnxoVzaxny_536regJE_Q95PsDfg6lO=s220?authuser=0,,
27,Harjaya Widiastuti,Frontend Developer,Technology,10,71,76,No,Perempuan,Solo,Belum Menikah,61,110,,,,https://lh3.googleusercontent.com/d/1S4Yc16UKeZb4p08VpabC39R64Wn8Chf7=s220?authuser=0,,
28,Devi Uwais,Backend Developer,Technology,9,68,55,No,Perempuan,Jakarta,Belum Menikah,66,114,,,,https://lh3.googleusercontent.com/d/1ECvqJfD5AiY6CM_6E8TMQWlYx9F1dZTy=s220?authuser=0,,
29,Warta Setiawan,Backend Developer,Technology,9,86,82,No,Laki-laki,Denpasar,Belum Menikah,61,124,,,,https://lh3.googleusercontent.com/d/16ywfKFvNOi3w-lrgjHfxLUwqVD92fqHK=s220?authuser=0,,
30,Opan Sitorus,Backend Developer,Technology,9,70,76,No,Laki-laki,Denpasar,Belum Menikah,65,126,,,,https://lh3.googleusercontent.com/d/1K74wPFYey2Vdt4N9Z8Dcl6Kwjx0OqQS-=s220?authuser=0,,
31,"Tgk. Bakijan Irawan, M.Kom.",QA Engineer,Technology,9,65,58,No,Laki-laki,Makassar,Menikah,62,111,,,,https://lh3.googleusercontent.com/d/1WywQWvcqTmknhE8ssO4o6Kr25H1kvOwB=s220?authuser=0,,
32,"R. Shania Hastuti, M.Pd",QA Engineer,Technology,11,64,62,No,Perempuan,Jakarta,Belum Menikah,56,112,,,,https://lh3.googleusercontent.com/d/1h48ZXT1C7gFOpXat9_nUEm1YgC_Jm1DT=s220?authuser=0,,
33,"Karman Narpati, M.Pd",Sales Executive,Marketing,12,75,81,No,Laki-laki,Makassar,Menikah,69,121,,,,https://lh3.googleusercontent.com/d/14ro1jN0DBGS_C36zVdleRdlM7rbYqldg=s220?authuser=0,,
34,Gilda Lailasari,Sales Executive,Marketing,13,74,78,No,Perempuan,Surabaya,Belum Menikah,67,128,,,,https://lh3.googleusercontent.com/d/158Qhp4AJBVAngxUF0UAbxAJH0vL-nwSc=s220?authuser=0,,
35,"Dr. Edward Mustofa, S.Psi",Sales Executive,Marketing,14,73,62,No,Laki-laki,Bandung,Belum Menikah,64,130,,,,https://lh3.googleusercontent.com/d/1Dbrnt6dKIDcJUnO3x026SOLfdN2dAgrG=s220?authuser=0,,
36,Ami Dongoran,Sales Executive,Marketing,12,69,58,No,Perempuan,Bekasi,Belum Menikah,66,122,,,,https://lh3.googleusercontent.com/d/1_xb3d3Ndrvk0OZXXtt3JRiAECdbYu3-A=s220?authuser=0,,
37,Aurora Kuswoyo,Sales Executive,Marketing,14,97,85,No,Perempuan,Tangerang,Belum Menikah,89,120,,,,https://lh3.googleusercontent.com/d/14RLet1K7hzEDZJMfoSDJqINtqAJCzst_=s220?authuser=0,,
38,"Hilda Mulyani, S.Farm",Sales Executive,Marketing,13,67,72,No,Perempuan,Solo,Menikah,57,129,,,,https://lh3.googleusercontent.com/d/1YAp4IO5EhHUBqBflU63fLVA5bRguprfv=s220?authuser=0,,
39,Galen Augustino,Digital Marketing Specialist,Marketing,12,79,76,No,Laki-laki,Palembang,Menikah,63,127,,,,https://lh3.googleusercontent.com/d/1FqccdVek2R3IzWTP5q3u2w6RBvD8kwj1=s220?authuser=0,,
40,Irno Wijayanto,Digital Marketing Specialist,Marketing,12,96,88,No,Laki-laki,Bekasi,Menikah,90,117,,,,https://lh3.googleusercontent.com/d/1C4tQliITLKmtYprHfhDMKxYOBx8D-5ZM=s220?authuser=0,,
41,Tgk. Widya Prakasa,Digital Marketing Specialist,Marketing,12,98,75,No,Laki-laki,Bandung,Belum Menikah,95,114,,,,https://lh3.googleusercontent.com/d/10jtpd9LphB6-kiHvO90dm385rtOU0SmE=s220?authuser=0,,
42,Julio Fujianto,Digital Marketing Specialist,Marketing,14,75,52,No,Laki-laki,Solo,Belum Menikah,71,106,,,,https://lh3.googleusercontent.com/d/12Yaynw_UFkEgxj9YyNSBMxRpJmV4NHt3=s220?authuser=0,,
43,Leo Megantara,Partnership Executive,Marketing,13,87,92,No,Laki-laki,Surabaya,Menikah,77,115,,,,https://lh3.googleusercontent.com/d/1oBy-7tTpjkMYNG6PNvEmzvkoLifcJZph=s220?authuser=0,,
44,Wirda Hidayanto,Partnership Executive,Marketing,12,71,60,No,Perempuan,Tangerang,Menikah,63,113,,,,https://lh3.googleusercontent.com/d/1kndQech18xMopER1TXGtrbhW62P5BUlG=s220?authuser=0,,
45,Imam Ramadan,HR Staff,People,15,88,70,No,Laki-laki,Surabaya,Menikah,81,125,,,,https://lh3.googleusercontent.com/d/1zaEXzB61IVbJXGaBNsaqMlNKRfZd7i-6=s220?authuser=0,,
46,drg. Ajimin Lazuardi,HR Staff,People,17,85,82,No,Laki-laki,Bekasi,Belum Menikah,65,114,,,,https://lh3.googleusercontent.com/d/1fHCRbWDznr28tj2NrC-4TsUxOdTTIC1V=s220?authuser=0,,
47,"R. Balapati Hutapea, S.I.Kom",HR Staff,People,16,93,90,No,Laki-laki,Bogor,Belum Menikah,63,112,,,,https://lh3.googleusercontent.com/d/1Z9Z9Nma1OnRJROrgpzubdaW2hLsVLp7d=s220?authuser=0,,
48,"Tira Winarno, S.Ked",Recruiter,People,17,82,80,No,Perempuan,Depok,Belum Menikah,64,114,,,,https://lh3.googleusercontent.com/d/14vuMSAmFVAmiOP5piYze-xu39KZnRbW6=s220?authuser=0,,
49,Adika Sitompul,Recruiter,People,15,63,58,No,Laki-laki,Surabaya,Belum Menikah,53,120,,,,https://lh3.googleusercontent.com/d/1L55qj-ZBtytOgPxtH53p8q8UyxzyHtX8=s220?authuser=0,,
50,"Zamira Rahmawati, S.IP",Learning Specialist,People,15,72,58,No,Perempuan,Palembang,Menikah,68,109,,,,https://lh3.googleusercontent.com/d/14Fqg11NGOibFqveSz4949xZwpffSqMxY=s220?authuser=0,,
